Timepoint,Batch,Animal ,Eartag ,Uplo,Bafr,Pen,Corridor,Diet,Duration,Type ,Bilirubin_1,Cortisol_1,Haptoglobin,Titer_IgG,Titer_IgM,wbc ,neutro1,lympho1,mono1,eo1,baso1,neutro2,lympho2,mono2,eo2,baso2,CD8+,CD8+ perf+,NK+,NK+ perf+,CD4+,CD4+ perf+,gamma delta+,gamma delta+ perf+,CD14+ large,CD21+ large
T0,2,78,60361,up,back,51,7,M,6,U,3.53,1.29,0.22,5.3,3.8,9.92,3.66,4.64,1.08,0.29,0.26,36.95,46.75,10.85,2.85,2.6,6.83,0.58,9.25,1.14,13.4,0.22,51.4,0.35,40.9,6.99
T0,2,79,88053,up,front,49,7,E,6,U,13.70,9.00,0.79,4.2,3.2,8.26,3.24,2.94,1.47,0.34,0.28,39.2,35.6,17.75,4.1,3.35,6.99,2.99,15.7,1.92,27.9,0.83,32.2,0.2,59.5,4.07
T0,2,80,15269,up,front,49,7,E,6,U,4.39,11.91,0.20,4.9,6.9,5.87,1.68,2.87,0.85,0.38,0.09,28.65,48.95,14.4,6.45,1.55,2.53,0.88,5.01,2.55,9.88,0,63.7,0.16,37.7,6.14
T0,2,81,9973,up,front,47,6,E,6,C,45.80,3.59,0.24,3.2,4.6,6.02,1.87,2.90,0.90,0.29,0.08,30.95,48.1,14.9,4.75,1.3,4.35,2.84,12.4,1.65,18.9,0.11,41.9,0.086,37.4,9.54
T0,2,82,57776,up,front,47,6,E,6,C,11.88,6.42,0.49,3.7,5.1,8.00,3.18,3.53,0.85,0.23,0.22,39.7,44.2,10.55,2.8,2.75,7.1,0.5,4.77,1.69,17.4,0.27,51.6,0.33,32.3,4.45
T0,2,83,40276,up,front,46,6,E,6,U,4.92,14.10,0.43,5.9,5.7,8.63,2.91,2.26,1.65,1.49,0.33,34.3,26.5,18.45,17,3.75,10.4,1.11,7.55,1.86,20.2,0.16,31.8,0.12,55.4,8.29
T0,2,84,91794,up,front,46,6,E,6,U,8.45,0.30,0.35,3.6,4.2,9.17,4.32,2.52,1.40,0.44,0.50,47.05,27.5,15.2,4.8,5.45,8.2,0.7,8.27,2.29,19.7,0.092,48.4,0.14,50.8,5.12
T0,2,85,9592,up,back,45,6,M,6,C,17.44,3.36,0.22,2.9,3.8,9.16,3.19,4.24,1.39,0.11,0.25,34.75,46.3,15.1,1.15,2.7,4.76,2.67,10.2,1.71,17.8,0.13,35.8,0.18,41.7,13.9
T0,2,86,23579,up,back,45,6,M,6,C,4.28,9.70,0.27,4.4,4.9,8.73,4.67,2.56,1.01,0.21,0.29,53.45,29.3,11.55,2.35,3.35,8.86,2.58,7.29,2.09,21.2,0.13,42.6,0.13,41,6.72
T0,2,87,24435,up,back,44,6,M,6,U,5.67,3.44,0.38,2.1,6.3,4.66,1.45,1.83,1.11,0.11,0.17,31,39.15,23.85,2.35,3.65,3.73,2.31,7.66,2.62,19.3,0.15,42.1,0.22,54.7,6.52
T0,2,88,895,up,back,44,6,M,6,U,13.38,0.63,0.25,5.4,7.3,8.06,2.87,3.47,0.98,0.56,0.19,35.6,43,12.2,6.9,2.3,5.87,1.23,3.39,2.06,16,0.2,46.7,0.35,22.7,17.7
