Timepoint,Batch,Animal ,Eartag ,Uplo,Bafr,Pen,Corridor,Diet,Duration,Type ,Bilirubin_1,Cortisol_1,Haptoglobin,Titer_IgG,Titer_IgM,wbc ,neutro1,lympho1,mono1,eo1,baso1,neutro2,lympho2,mono2,eo2,baso2,CD8+,CD8+ perf+,NK+,NK+ perf+,CD4+,CD4+ perf+,gamma delta+,gamma delta+ perf+,CD14+ large,CD21+ large
T24,1,13,16314,low,back,14,2,M,6,C,2.03,0.06,0.21,4.4,3.4,,,,,,,,,,,,,,,,,,,,,
T24,1,14,80713,low,back,14,2,M,6,C,3.32,3.38,0.21,5.6,3.5,,,,,,,,,,,,,,,,,,,,,
T24,1,15,37561,up,back,15,2,E,6,U,3.42,0.81,0.17,6.1,4.7,,,,,,,,,,,,,,,,,,,,,
T24,1,16,61215,up,back,15,2,E,6,U,2.25,4.52,0.31,5.1,5.7,,,,,,,,,,,,,,,,,,,,,
T24,1,17,75185,up,back,18,3,E,6,C,3.75,1.08,0.18,3.5,3.8,,,,,,,,,,,,,,,,,,,,,
T24,1,18,16316,up,back,18,3,E,6,C,2.68,15.93,0.27,3.0,5.0,,,,,,,,,,,,,,,,,,,,,
T24,1,19,56823,low,back,21,3,M,6,C,6.96,.,0.57,1.5,5.1,,,,,,,,,,,,,,,,,,,,,
T24,1,20,95180,low,back,21,3,M,6,C,4.07,3.56,0.83,4.3,5.4,,,,,,,,,,,,,,,,,,,,,
T24,1,21,8748,up,back,22,3,E,6,U,3.64,8.23,0.22,2.2,4.3,,,,,,,,,,,,,,,,,,,,,
T24,1,22,40289,up,back,22,3,E,6,U,5.99,1.78,0.15,4.8,4.3,,,,,,,,,,,,,,,,,,,,,
T24,1,23,27492,low,back,24,3,M,6,U,3.32,2.14,0.32,3.4,5.4,,,,,,,,,,,,,,,,,,,,,
T24,1,24,4792,low,back,24,3,M,6,U,6.31,2.55,0.30,2.9,4.3,,,,,,,,,,,,,,,,,,,,,
T24,1,25,35951,up,back,29,4,E,6,U,3.10,6.28,0.23,2.1,4.8,,,,,,,,,,,,,,,,,,,,,
T24,1,26,37559,up,back,29,4,E,6,U,3.53,1.22,0.41,4.0,2.0,,,,,,,,,,,,,,,,,,,,,
T24,1,27,75195,up,back,26,4,E,6,C,4.17,3.18,0.42,4.0,3.8,,,,,,,,,,,,,,,,,,,,,
T24,1,28,79803,up,back,26,4,E,6,C,3.64,2.24,0.37,6.0,3.0,,,,,,,,,,,,,,,,,,,,,
T24,1,29,69596,low,back,30,4,M,6,U,6.42,0.75,0.30,4.7,7.6,,,,,,,,,,,,,,,,,,,,,
T24,1,30,87499,low,back,30,4,M,6,U,5.56,8.52,0.34,5.0,8.8,,,,,,,,,,,,,,,,,,,,,
T24,1,31,73477,low,back,32,4,M,6,C,2.57,21.56,0.39,3.2,4.5,,,,,,,,,,,,,,,,,,,,,
T24,1,32,34990,low,back,32,4,M,6,C,7.38,15.69,0.35,2.9,6.5,,,,,,,,,,,,,,,,,,,,,
T24,1,33,22185,low,front,1,1,E,18,C,4.07,0.78,0.41,3.1,5.6,,,,,,,,,,,,,,,,,,,,,
T24,1,34,53452,low,front,1,1,E,18,C,6.53,7.76,0.46,4.4,3.7,,,,,,,,,,,,,,,,,,,,,
T24,1,35,29396,low,front,3,1,E,18,U,2.35,2.02,0.26,2.9,5.5,,,,,,,,,,,,,,,,,,,,,
T24,1,36,14012,low,front,3,1,E,18,U,2.78,2.15,0.42,4.5,6.0,,,,,,,,,,,,,,,,,,,,,
T24,1,37,50349,up,front,5,1,M,18,C,3.42,6.05,0.44,4.7,4.2,,,,,,,,,,,,,,,,,,,,,
T24,1,38,39648,up,front,5,1,M,18,C,5.35,0.61,0.22,4.9,5.2,,,,,,,,,,,,,,,,,,,,,
T24,1,39,61024,up,front,8,1,M,18,U,3.32,.,1.06,1.8,5.5,,,,,,,,,,,,,,,,,,,,,
T24,1,40,28878,up,front,8,1,M,18,U,2.89,1.95,0.56,4.9,4.7,,,,,,,,,,,,,,,,,,,,,
T24,1,41,93,low,front,9,2,E,18,U,4.82,4.03,0.38,2.1,8.6,,,,,,,,,,,,,,,,,,,,,
T24,1,42,72853,low,front,9,2,E,18,U,3.75,0.37,0.29,6.1,6.2,,,,,,,,,,,,,,,,,,,,,
T24,1,43,93818,up,front,11,2,M,18,C,3.85,11.98,0.72,6.3,7.1,,,,,,,,,,,,,,,,,,,,,
T24,1,44,65450,up,front,11,2,M,18,C,4.39,.,2.51,1.8,4.8,,,,,,,,,,,,,,,,,,,,,
T24,1,45,45401,up,front,12,2,M,18,U,3.10,.,0.59,4.1,4.7,,,,,,,,,,,,,,,,,,,,,
T24,1,46,48149,up,front,12,2,M,18,U,4.07,7.72,0.36,3.9,5.3,,,,,,,,,,,,,,,,,,,,,
T24,1,47,96635,low,front,16,2,E,18,C,3.10,.,0.43,4.1,3.6,,,,,,,,,,,,,,,,,,,,,
T24,1,48,16664,low,front,16,2,E,18,C,5.14,6.66,0.25,4.1,7.3,,,,,,,,,,,,,,,,,,,,,
T24,1,49,16560,up,front,17,3,M,18,U,2.68,11.65,0.26,3.1,5.8,,,,,,,,,,,,,,,,,,,,,
T24,1,50,6497,up,front,17,3,M,18,U,3.32,3.94,0.27,1.5,6.2,,,,,,,,,,,,,,,,,,,,,
T24,1,51,42558,low,front,19,3,E,18,C,4.28,0.18,0.30,4.5,5.5,,,,,,,,,,,,,,,,,,,,,
T24,1,52,50213,low,front,19,3,E,18,C,8.35,7.41,0.26,8.5,4.8,,,,,,,,,,,,,,,,,,,,,
T24,1,53,3568,low,front,20,3,E,18,U,2.78,11.10,0.28,5.7,5.1,,,,,,,,,,,,,,,,,,,,,
T24,1,54,40290,low,front,20,3,E,18,U,.,.,.,.,5.5,,,,,,,,,,,,,,,,,,,,,
T24,1,55,66191,up,front,23,3,M,18,C,2.35,2.83,1.98,2.3,4.7,,,,,,,,,,,,,,,,,,,,,
T24,1,56,75270,up,front,23,3,M,18,C,3.21,5.03,0.25,5.1,4.8,,,,,,,,,,,,,,,,,,,,,
T24,1,57,888,up,front,27,4,M,18,C,7.17,12.90,0.50,2.4,8.3,,,,,,,,,,,,,,,,,,,,,
T24,1,58,45885,up,front,27,4,M,18,C,7.38,0.75,0.68,2.5,1.6,,,,,,,,,,,,,,,,,,,,,
T24,1,59,45349,low,front,28,4,E,18,C,3.53,1.14,0.35,6.5,7.5,,,,,,,,,,,,,,,,,,,,,
T24,1,60,57698,low,front,28,4,E,18,C,5.67,1.36,0.30,5.0,2.3,,,,,,,,,,,,,,,,,,,,,
T24,1,61,72816,low,front,25,4,E,18,U,2.25,5.71,0.34,4.8,3.7,,,,,,,,,,,,,,,,,,,,,
T24,1,62,31606,low,front,25,4,E,18,U,3.32,9.06,0.22,5.9,4.0,,,,,,,,,,,,,,,,,,,,,
T24,1,63,69635,up,front,31,4,M,18,U,3.75,1.01,0.53,2.1,5.9,,,,,,,,,,,,,,,,,,,,,
T24,1,64,45403,up,front,31,4,M,18,U,2.35,5.55,1.19,6.6,5.7,,,,,,,,,,,,,,,,,,,,,
T24,2,65,80573,up,front,34,5,E,6,C,3.64,0.66,0.53,6.8,3.9,,,,,,,,,,,,,,,,,,,,,
T24,2,66,19960,up,front,34,5,E,6,C,2.78,7.19,0.26,0.9,6.3,,,,,,,,,,,,,,,,,,,,,
T24,2,67,54405,up,back,38,5,M,6,U,1.82,.,0.23,4.8,4.9,,,,,,,,,,,,,,,,,,,,,
T24,2,68,75201,up,back,38,5,M,6,U,1.82,0.68,0.24,5.5,3.9,,,,,,,,,,,,,,,,,,,,,
T24,2,69,21429,up,front,39,5,E,6,U,2.89,0.27,0.29,5.7,6.2,,,,,,,,,,,,,,,,,,,,,
T24,2,70,64432,up,front,39,5,E,6,U,2.89,1.24,0.23,3.4,5.6,,,,,,,,,,,,,,,,,,,,,
T24,2,71,88056,up,back,40,5,M,6,C,6.21,5.65,0.29,4.4,4.4,,,,,,,,,,,,,,,,,,,,,
T24,2,72,29184,up,back,40,5,M,6,C,2.35,3.92,0.47,4.5,6.6,,,,,,,,,,,,,,,,,,,,,
T24,2,73,895,up,back,44,6,M,6,U,4.92,.,0.20,5.2,4.4,,,,,,,,,,,,,,,,,,,,,
T24,2,74,24435,up,back,44,6,M,6,U,3.85,.,0.39,1.6,3.7,,,,,,,,,,,,,,,,,,,,,
T24,2,75,23579,up,back,45,6,M,6,C,2.57,0.68,0.26,4.8,3.5,,,,,,,,,,,,,,,,,,,,,
T24,2,76,9592,up,back,45,6,M,6,C,11.34,.,0.25,3.2,3.5,,,,,,,,,,,,,,,,,,,,,
T24,2,77,91794,up,front,46,6,E,6,U,3.53,.,0.35,3.7,3.9,,,,,,,,,,,,,,,,,,,,,
T24,2,78,40276,up,front,46,6,E,6,U,2.14,6.63,0.35,5.6,3.9,,,,,,,,,,,,,,,,,,,,,
T24,2,79,57776,up,front,47,6,E,6,C,2.03,0.51,0.34,3.9,6.1,,,,,,,,,,,,,,,,,,,,,
T24,2,80,9973,up,front,47,6,E,6,C,14.02,15.18,0.22,3.1,6.5,,,,,,,,,,,,,,,,,,,,,
T24,2,81,15269,up,front,49,7,E,6,U,2.57,0.55,0.16,4.6,4.1,,,,,,,,,,,,,,,,,,,,,
T24,2,82,88053,up,front,49,7,E,6,U,4.82,0.48,0.97,4.6,5.9,,,,,,,,,,,,,,,,,,,,,
T24,2,83,60361,up,back,51,7,M,6,U,2.46,0.71,0.24,6.0,4.3,,,,,,,,,,,,,,,,,,,,,
T24,2,84,80791,up,back,51,7,M,6,U,5.35,0.15,0.21,4.7,5.3,,,,,,,,,,,,,,,,,,,,,
T24,2,85,52531,up,back,54,7,M,6,C,2.68,16.61,0.89,2.4,4.9,,,,,,,,,,,,,,,,,,,,,
T24,2,86,14018,up,back,54,7,M,6,C,4.71,1.48,0.21,3.2,6.7,,,,,,,,,,,,,,,,,,,,,
T24,2,87,1624,up,front,56,7,E,6,C,5.24,6.11,0.31,4.3,7.4,,,,,,,,,,,,,,,,,,,,,
T24,2,88,50917,up,front,56,7,E,6,C,5.14,.,0.52,7.1,4.7,,,,,,,,,,,,,,,,,,,,,
T24,2,89,29185,up,back,57,8,M,6,U,2.89,.,0.37,6.2,3.9,,,,,,,,,,,,,,,,,,,,,
T24,2,90,50387,up,back,57,8,M,6,U,5.99,0.70,0.47,4.7,3.2,,,,,,,,,,,,,,,,,,,,,
T24,2,91,94759,up,front,58,8,E,6,C,1.82,1.70,0.27,4.6,9.2,,,,,,,,,,,,,,,,,,,,,
T24,2,92,95247,up,front,58,8,E,6,C,6.21,1.24,0.45,4.3,4.6,,,,,,,,,,,,,,,,,,,,,
T24,2,93,63014,up,front,61,8,E,6,U,2.89,0.61,0.35,3.2,3.3,,,,,,,,,,,,,,,,,,,,,
T24,2,94,1564,up,front,61,8,E,6,U,5.89,5.37,0.23,6.8,3.7,,,,,,,,,,,,,,,,,,,,,
T24,2,95,73311,up,back,62,8,M,6,C,7.81,0.15,0.25,5.7,2.3,,,,,,,,,,,,,,,,,,,,,
T24,2,96,64693,up,back,62,8,M,6,C,8.24,0.46,0.48,2.4,5.6,,,,,,,,,,,,,,,,,,,,,
T24,2,97,97402,low,back,33,5,E,18,C,3.96,0.99,0.49,2.9,5.4,,,,,,,,,,,,,,,,,,,,,
T24,2,98,86534,low,back,33,5,E,18,C,2.78,0.57,0.33,6.4,3.7,,,,,,,,,,,,,,,,,,,,,
T24,2,99,366,low,front,35,5,M,18,C,8.24,0.68,0.28,4.5,6.0,,,,,,,,,,,,,,,,,,,,,
T24,2,100,54404,low,front,35,5,M,18,C,1.93,.,0.28,5.2,5.5,,,,,,,,,,,,,,,,,,,,,
T24,2,101,64694,low,front,36,5,M,18,U,4.28,0.04,0.33,3.8,4.2,,,,,,,,,,,,,,,,,,,,,
T24,2,102,55856,low,front,36,5,M,18,U,2.03,0.31,0.23,5.2,4.3,,,,,,,,,,,,,,,,,,,,,
T24,2,103,94563,low,back,37,5,E,18,U,2.68,2.91,0.49,6.2,5.4,,,,,,,,,,,,,,,,,,,,,
T24,2,104,52276,low,back,37,5,E,18,U,5.56,13.03,0.60,4.3,3.2,,,,,,,,,,,,,,,,,,,,,
T24,2,105,69466,low,back,41,6,E,18,U,2.78,0.78,0.21,5.3,6.3,,,,,,,,,,,,,,,,,,,,,
T24,2,106,24437,low,back,41,6,E,18,U,2.35,0.98,0.22,3.9,2.7,,,,,,,,,,,,,,,,,,,,,
T24,2,107,907,low,back,42,6,E,18,C,4.39,.,0.20,4.8,4.5,,,,,,,,,,,,,,,,,,,,,
T24,2,108,9093,low,back,42,6,E,18,C,4.17,23.83,0.22,4.0,4.4,,,,,,,,,,,,,,,,,,,,,
T24,2,109,19052,low,front,43,6,M,18,U,2.57,5.02,0.26,6.0,4.8,,,,,,,,,,,,,,,,,,,,,
T24,2,110,15888,low,front,43,6,M,18,U,3.53,0.73,0.46,3.7,3.5,,,,,,,,,,,,,,,,,,,,,
T24,2,111,10298,low,front,48,6,M,18,C,4.60,.,0.24,5.0,4.9,,,,,,,,,,,,,,,,,,,,,
T24,2,112,40907,low,front,48,6,M,18,C,0.11,7.11,0.68,7.2,7.2,,,,,,,,,,,,,,,,,,,,,
T24,2,113,20478,low,front,50,7,M,18,U,3.21,2.61,0.37,4.5,5.1,,,,,,,,,,,,,,,,,,,,,
T24,2,114,4789,low,front,50,7,M,18,U,2.57,0.55,0.24,4.6,5.8,,,,,,,,,,,,,,,,,,,,,
T24,2,115,15715,low,back,52,7,E,18,U,2.35,1.50,0.20,3.7,5.1,,,,,,,,,,,,,,,,,,,,,
T24,2,116,77719,low,back,52,7,E,18,U,3.10,2.71,0.41,5.7,5.3,,,,,,,,,,,,,,,,,,,,,
T24,2,117,84767,low,back,53,7,E,18,C,3.85,17.85,0.37,3.5,4.2,,,,,,,,,,,,,,,,,,,,,
T24,2,118,12646,low,back,53,7,E,18,C,4.07,9.70,0.22,5.6,6.5,,,,,,,,,,,,,,,,,,,,,
T24,2,119,64365,low,front,55,7,M,18,C,1.39,3.47,0.43,4.6,5.1,,,,,,,,,,,,,,,,,,,,,
T24,2,120,27535,low,front,55,7,M,18,C,3.75,37.50,0.21,5.5,6.3,,,,,,,,,,,,,,,,,,,,,
T24,2,121,43506,low,back,59,8,E,18,U,3.32,6.35,0.39,2.1,4.2,,,,,,,,,,,,,,,,,,,,,
T24,2,122,73955,low,back,59,8,E,18,U,5.46,11.45,0.19,1.3,3.9,,,,,,,,,,,,,,,,,,,,,
T24,2,123,50384,low,back,60,8,E,18,C,2.57,14.37,1.03,5.9,3.2,,,,,,,,,,,,,,,,,,,,,
T24,2,124,4797,low,back,60,8,E,18,C,8.24,12.45,0.67,0.4,3.0,,,,,,,,,,,,,,,,,,,,,
T24,2,125,40277,low,front,63,8,M,18,C,3.64,12.27,0.26,4.7,4.4,,,,,,,,,,,,,,,,,,,,,
T24,2,126,9797,low,front,63,8,M,18,C,5.14,7.14,0.26,4.3,5.6,,,,,,,,,,,,,,,,,,,,,
T24,2,127,7083,low,front,64,8,M,18,U,7.28,2.72,0.29,3.0,2.3,,,,,,,,,,,,,,,,,,,,,
T24,2,128,902,low,front,64,8,M,18,U,4.92,0.10,0.32,4.4,9.0,,,,,,,,,,,,,,,,,,,,,
T4,1,1,73981,low,back,2,1,M,6,U,3.10,6.15,0.21,4.8,3.2,,,,,,,,,,,,,,,,,,,,,
T4,1,2,45400,low,back,2,1,M,6,U,6.63,3.19,0.33,4.8,5.6,,,,,,,,,,,,,,,,,,,,,
T4,1,3,48454,up,back,4,1,E,6,U,2.89,4.59,0.22,4.7,5.1,,,,,,,,,,,,,,,,,,,,,
T4,1,4,4796,up,back,4,1,E,6,U,25.57,7.56,0.27,3.7,6.1,,,,,,,,,,,,,,,,,,,,,
T4,1,5,85085,low,back,6,1,M,6,C,7.06,1.56,0.21,4.1,11.1,,,,,,,,,,,,,,,,,,,,,
T4,1,6,884,low,back,6,1,M,6,C,2.46,4.37,0.44,3.4,4.3,,,,,,,,,,,,,,,,,,,,,
T4,1,7,59787,up,back,7,1,E,6,C,12.31,1.05,0.19,5.0,3.8,,,,,,,,,,,,,,,,,,,,,
T4,1,8,73475,up,back,7,1,E,6,C,4.82,10.49,0.21,5.2,3.6,,,,,,,,,,,,,,,,,,,,,
T4,1,9,29559,up,back,10,2,E,6,C,3.64,1.22,0.22,3.2,5.6,,,,,,,,,,,,,,,,,,,,,
T4,1,10,57771,up,back,10,2,E,6,C,1.71,9.23,0.45,4.3,3.8,,,,,,,,,,,,,,,,,,,,,
T4,1,11,37002,low,back,13,2,M,6,U,3.10,5.63,0.22,6.1,3.6,,,,,,,,,,,,,,,,,,,,,
T4,1,12,37558,low,back,13,2,M,6,U,4.49,3.96,0.20,5.5,5.2,,,,,,,,,,,,,,,,,,,,,
T4,1,13,16314,low,back,14,2,M,6,C,2.68,1.66,0.42,4.6,3.4,,,,,,,,,,,,,,,,,,,,,
T4,1,14,80713,low,back,14,2,M,6,C,5.03,4.53,0.29,6.1,4.2,,,,,,,,,,,,,,,,,,,,,
T4,1,15,37561,up,back,15,2,E,6,U,7.70,1.22,0.20,6.2,7.4,,,,,,,,,,,,,,,,,,,,,
T4,1,16,61215,up,back,15,2,E,6,U,11.13,13.96,0.25,4.8,6.1,,,,,,,,,,,,,,,,,,,,,
T4,1,17,75185,up,back,18,3,E,6,C,11.66,1.84,0.18,3.6,4.8,,,,,,,,,,,,,,,,,,,,,
T4,1,18,16316,up,back,18,3,E,6,C,3.10,2.64,0.31,3.0,4.5,,,,,,,,,,,,,,,,,,,,,
T4,1,19,56823,low,back,21,3,M,6,C,15.62,.,0.49,1.6,6.3,,,,,,,,,,,,,,,,,,,,,
T4,1,20,95180,low,back,21,3,M,6,C,4.92,4.03,0.74,4.3,4.7,,,,,,,,,,,,,,,,,,,,,
T4,1,21,8748,up,back,22,3,E,6,U,4.71,2.75,0.29,2.2,3.3,,,,,,,,,,,,,,,,,,,,,
T4,1,22,40289,up,back,22,3,E,6,U,7.06,1.70,0.20,5.2,4.8,,,,,,,,,,,,,,,,,,,,,
T4,1,23,27492,low,back,24,3,M,6,U,3.96,7.64,0.28,3.2,5.9,,,,,,,,,,,,,,,,,,,,,
T4,1,24,4792,low,back,24,3,M,6,U,3.00,1.91,0.51,3.2,4.3,,,,,,,,,,,,,,,,,,,,,
T4,1,25,35951,up,back,29,4,E,6,U,5.35,7.28,0.19,2.2,7.8,,,,,,,,,,,,,,,,,,,,,
T4,1,26,37559,up,back,29,4,E,6,U,8.45,15.37,0.35,4.0,5.5,,,,,,,,,,,,,,,,,,,,,
T4,1,27,75195,up,back,26,4,E,6,C,7.28,12.15,0.25,4.1,3.1,,,,,,,,,,,,,,,,,,,,,
T4,1,28,79803,up,back,26,4,E,6,C,4.39,3.44,0.54,5.7,5.1,,,,,,,,,,,,,,,,,,,,,
T4,1,29,69596,low,back,30,4,M,6,U,7.70,0.95,0.30,4.9,5.7,,,,,,,,,,,,,,,,,,,,,
T4,1,30,87499,low,back,30,4,M,6,U,8.45,13.51,0.30,4.8,4.3,,,,,,,,,,,,,,,,,,,,,
T4,1,31,73477,low,back,32,4,M,6,C,4.17,0.46,0.22,2.9,6.2,,,,,,,,,,,,,,,,,,,,,
T4,1,32,34990,low,back,32,4,M,6,C,9.52,12.84,0.34,3.0,2.3,,,,,,,,,,,,,,,,,,,,,
T4,1,33,22185,low,front,1,1,E,18,C,12.31,3.06,0.36,3.2,5.9,,,,,,,,,,,,,,,,,,,,,
T4,1,34,53452,low,front,1,1,E,18,C,21.19,2.37,0.33,4.5,6.1,,,,,,,,,,,,,,,,,,,,,
T4,1,35,29396,low,front,3,1,E,18,U,6.63,8.56,0.18,2.9,7.6,,,,,,,,,,,,,,,,,,,,,
T4,1,36,14012,low,front,3,1,E,18,U,9.20,3.41,0.36,4.9,7.0,,,,,,,,,,,,,,,,,,,,,
T4,1,37,50349,up,front,5,1,M,18,C,5.78,4.17,0.41,4.6,5.6,,,,,,,,,,,,,,,,,,,,,
T4,1,38,39648,up,front,5,1,M,18,C,8.88,5.92,0.20,5.1,4.0,,,,,,,,,,,,,,,,,,,,,
T4,1,39,61024,up,front,8,1,M,18,U,15.09,6.53,0.63,1.7,5.6,,,,,,,,,,,,,,,,,,,,,
T4,1,40,28878,up,front,8,1,M,18,U,3.96,6.29,0.59,5.0,5.6,,,,,,,,,,,,,,,,,,,,,
T4,1,41,93,low,front,9,2,E,18,U,14.23,3.90,0.39,2.3,4.0,,,,,,,,,,,,,,,,,,,,,
T4,1,42,72853,low,front,9,2,E,18,U,6.85,5.23,0.25,6.1,5.4,,,,,,,,,,,,,,,,,,,,,
T4,1,43,93818,up,front,11,2,M,18,C,11.34,8.82,0.31,6.2,5.0,,,,,,,,,,,,,,,,,,,,,
T4,1,44,65450,up,front,11,2,M,18,C,8.45,10.54,2.06,2.1,4.9,,,,,,,,,,,,,,,,,,,,,
T4,1,45,45401,up,front,12,2,M,18,U,5.56,.,0.59,4.1,6.1,,,,,,,,,,,,,,,,,,,,,
T4,1,46,48149,up,front,12,2,M,18,U,7.81,6.34,0.28,3.6,5.6,,,,,,,,,,,,,,,,,,,,,
T4,1,47,96635,low,front,16,2,E,18,C,6.63,1.34,0.31,4.2,2.6,,,,,,,,,,,,,,,,,,,,,
T4,1,48,16664,low,front,16,2,E,18,C,10.81,8.53,0.29,4.2,4.4,,,,,,,,,,,,,,,,,,,,,
T4,1,49,16560,up,front,17,3,M,18,U,7.92,12.73,0.21,3.1,5.8,,,,,,,,,,,,,,,,,,,,,
T4,1,50,6497,up,front,17,3,M,18,U,11.88,22.26,0.19,4.7,10.2,,,,,,,,,,,,,,,,,,,,,
T4,1,51,42558,low,front,19,3,E,18,C,7.17,0.88,0.23,4.7,7.4,,,,,,,,,,,,,,,,,,,,,
T4,1,52,50213,low,front,19,3,E,18,C,11.66,0.85,0.21,8.7,7.2,,,,,,,,,,,,,,,,,,,,,
T4,1,53,3568,low,front,20,3,E,18,U,5.03,8.35,0.41,5.1,4.6,,,,,,,,,,,,,,,,,,,,,
T4,1,54,40290,low,front,20,3,E,18,U,12.31,0.16,0.23,4.2,4.4,,,,,,,,,,,,,,,,,,,,,
T4,1,55,66191,up,front,23,3,M,18,C,7.70,8.43,1.03,2.8,9.4,,,,,,,,,,,,,,,,,,,,,
T4,1,56,75270,up,front,23,3,M,18,C,8.45,7.00,0.23,4.8,6.6,,,,,,,,,,,,,,,,,,,,,
T4,1,57,888,up,front,27,4,M,18,C,10.38,3.96,0.36,2.5,3.8,,,,,,,,,,,,,,,,,,,,,
T4,1,58,45885,up,front,27,4,M,18,C,13.59,18.02,0.32,2.3,3.3,,,,,,,,,,,,,,,,,,,,,
T4,1,59,45349,low,front,28,4,E,18,C,6.63,8.25,0.19,6.0,6.0,,,,,,,,,,,,,,,,,,,,,
T4,1,60,57698,low,front,28,4,E,18,C,3.64,0.60,0.39,5.4,4.4,,,,,,,,,,,,,,,,,,,,,
T4,1,61,72816,low,front,25,4,E,18,U,5.67,18.88,0.21,4.8,4.1,,,,,,,,,,,,,,,,,,,,,
T4,1,62,31606,low,front,25,4,E,18,U,7.92,14.32,0.16,5.5,4.6,,,,,,,,,,,,,,,,,,,,,
T4,1,63,69635,up,front,31,4,M,18,U,7.28,5.40,0.21,2.1,4.0,,,,,,,,,,,,,,,,,,,,,
T4,1,64,45403,up,front,31,4,M,18,U,2.89,6.22,1.09,6.6,5.2,,,,,,,,,,,,,,,,,,,,,
T4,2,65,80573,up,front,34,5,E,6,C,8.99,2.22,0.49,7.0,4.9,,,,,,,,,,,,,,,,,,,,,
T4,2,66,19960,up,front,34,5,E,6,C,6.63,1.55,0.13,1.2,5.9,,,,,,,,,,,,,,,,,,,,,
T4,2,67,54405,up,back,38,5,M,6,U,7.17,.,0.18,5.0,5.8,,,,,,,,,,,,,,,,,,,,,
T4,2,68,75201,up,back,38,5,M,6,U,2.14,0.47,0.19,5.7,6.5,,,,,,,,,,,,,,,,,,,,,
T4,2,69,21429,up,front,39,5,E,6,U,3.85,.,0.23,5.9,10.1,,,,,,,,,,,,,,,,,,,,,
T4,2,70,64432,up,front,39,5,E,6,U,4.71,9.45,0.23,4.1,3.9,,,,,,,,,,,,,,,,,,,,,
T4,2,71,88056,up,back,40,5,M,6,C,5.24,11.58,0.27,4.9,3.5,,,,,,,,,,,,,,,,,,,,,
T4,2,72,29184,up,back,40,5,M,6,C,3.10,9.49,0.35,4.6,3.9,,,,,,,,,,,,,,,,,,,,,
T4,2,73,895,up,back,44,6,M,6,U,11.88,0.93,0.19,5.7,2.8,,,,,,,,,,,,,,,,,,,,,
T4,2,74,24435,up,back,44,6,M,6,U,4.49,2.02,0.33,2.0,6.4,,,,,,,,,,,,,,,,,,,,,
T4,2,75,23579,up,back,45,6,M,6,C,4.17,14.16,0.14,4.5,2.6,,,,,,,,,,,,,,,,,,,,,
T4,2,76,9592,up,back,45,6,M,6,C,9.84,1.52,0.19,3.1,3.6,,,,,,,,,,,,,,,,,,,,,
T4,2,77,91794,up,front,46,6,E,6,U,1.71,6.83,0.44,3.0,3.4,,,,,,,,,,,,,,,,,,,,,
T4,2,78,40276,up,front,46,6,E,6,U,2.89,14.71,0.30,5.7,3.4,,,,,,,,,,,,,,,,,,,,,
T4,2,79,57776,up,front,47,6,E,6,C,4.39,12.79,0.36,3.9,2.5,,,,,,,,,,,,,,,,,,,,,
T4,2,80,9973,up,front,47,6,E,6,C,31.57,17.59,0.17,3.4,4.0,,,,,,,,,,,,,,,,,,,,,
T4,2,81,15269,up,front,49,7,E,6,U,2.03,8.28,0.21,4.5,4.7,,,,,,,,,,,,,,,,,,,,,
T4,2,82,88053,up,front,49,7,E,6,U,6.21,5.99,1.39,3.8,5.8,,,,,,,,,,,,,,,,,,,,,
T4,2,83,60361,up,back,51,7,M,6,U,2.46,3.56,0.19,4.9,7.5,,,,,,,,,,,,,,,,,,,,,
T4,2,84,80791,up,back,51,7,M,6,U,3.75,0.92,0.18,4.3,3.6,,,,,,,,,,,,,,,,,,,,,
T4,2,85,52531,up,back,54,7,M,6,C,3.42,30.70,1.04,1.8,4.1,,,,,,,,,,,,,,,,,,,,,
T4,2,86,14018,up,back,54,7,M,6,C,3.32,11.80,0.24,2.6,5.9,,,,,,,,,,,,,,,,,,,,,
T4,2,87,1624,up,front,56,7,E,6,C,5.14,4.00,0.38,3.7,6.8,,,,,,,,,,,,,,,,,,,,,
T4,2,88,50917,up,front,56,7,E,6,C,5.67,4.74,0.54,4.8,6.5,,,,,,,,,,,,,,,,,,,,,
T4,2,89,29185,up,back,57,8,M,6,U,4.07,7.45,0.33,6.3,1.6,,,,,,,,,,,,,,,,,,,,,
T4,2,90,50387,up,back,57,8,M,6,U,3.00,25.22,0.38,4.4,5.7,,,,,,,,,,,,,,,,,,,,,
T4,2,91,94759,up,front,58,8,E,6,C,3.85,3.68,0.27,4.5,3.9,,,,,,,,,,,,,,,,,,,,,
T4,2,92,95247,up,front,58,8,E,6,C,3.00,7.36,0.50,4.3,6.0,,,,,,,,,,,,,,,,,,,,,
T4,2,93,63014,up,front,61,8,E,6,U,4.17,1.76,0.22,2.1,3.1,,,,,,,,,,,,,,,,,,,,,
T4,2,94,1564,up,front,61,8,E,6,U,18.73,14.91,0.19,5.7,3.8,,,,,,,,,,,,,,,,,,,,,
T4,2,95,73311,up,back,62,8,M,6,C,22.47,11.99,0.19,4.8,4.5,,,,,,,,,,,,,,,,,,,,,
T4,2,96,64693,up,back,62,8,M,6,C,14.77,4.62,0.35,1.3,6.0,,,,,,,,,,,,,,,,,,,,,
