lizard_ID,species,start_date,initial_mass,start_crickets,initial_svl,initial_tl,trial1_mass,trial1_date,crickets_left1,crickets_eaten1,trial2_mass,trial2_date,crickets_left2,crickets_eaten2,trial3_mass,trial3_date,crickets_left3,crickets_eaten3,final_mass,final_svl,final_tl,clutch,egg_date,hatch_date,sex,yolk_trt,temp_trt,hatch_mass,hatch_svl,hatch_tl,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,extracted_yolk,dev_time
LG069_20,guichenoti,28/12/20,0.201,30,21.581,30.766,0.233,30/12/20,13,17,0.274,1/1/21,20,10,0.15,3/1/21,10,20,0.293,22.47,32.943,CL022_20,27/10/20,17/12/20,NA,C,23,0.165,20.914,26.974,0.18,10.28,5.58,0.18,0,51
LG070_20,guichenoti,7/12/20,0.278,30,22.919,31.364,NA,9/12/20,18,12,0.126,11/12/20,6,24,0.12,13/12/20,6,24,0.296,23.424,35.459,CL022_20,27/10/20,28/11/20,NA,A,28,0.15,19.888,28.317,0.179,9.57,5.92,0.165,0.014,32
LG071_20,guichenoti,28/12/20,0.212,30,21.442,18.468,0.234,30/12/20,14,16,0.27,1/1/21,19,11,0.164,3/1/21,10,20,0.303,23.377,10.578,CL022_20,27/10/20,16/12/20,m,A,23,0.143,19.254,15.105,0.182,9.42,5.91,0.163,0.019,50
LG079_20,guichenoti,28/12/20,0.181,30,19.434,26.52,0.335,30/12/20,22,8,0.334,1/1/21,23,7,0.125,3/1/21,17,13,0.188,20.374,26.785,CL024_20,29/10/20,19/12/20,m,A,23,0.102,17.352,21.132,0.147,8.72,5.65,0.131,0.016,51
LG080_20,guichenoti,7/12/20,0.191,30,21.061,27.104,NA,9/12/20,17,13,0.127,11/12/20,11,19,0.218,13/12/20,11,19,0.205,21.442,8.208,CL024_20,29/10/20,28/11/20,NA,C,28,0.12,19.319,24.013,0.147,8.72,5.74,0.147,0,30
LG081_20,guichenoti,16/12/20,0.168,30,19.704,29.183,0.122,18/12/20,10,20,0.198,20/12/20,10,20,0.229,22/12/20,11,19,0.252,22.344,32.917,CL025_20,29/10/20,1/12/20,m,A,28,0.114,19.212,25.853,0.182,8.6,6.55,0.161,0.021,33
LG084_20,guichenoti,4/1/21,0.162,30,20.917,27.034,0.149,6/1/21,13,17,0.164,8/1/21,17,13,0.193,10/1/21,23,7,0.198,20.995,29.025,CL025_20,29/10/20,25/12/20,NA,C,23,0.129,20.002,28.225,0.199,9.86,6.18,0.199,0,57
LG087_20,guichenoti,16/12/20,0.213,30,22.041,31.146,0.133,18/12/20,3,27,0.231,20/12/20,11,19,0.271,22/12/20,13,17,0.333,24.381,34.574,CL026_20,29/10/20,1/12/20,NA,A,28,0.154,19.679,28.122,0.165,9.71,5.45,0.151,0.014,33
LG088_20,guichenoti,4/1/21,0.231,30,22.645,34.275,0.163,6/1/21,7,23,0.172,8/1/21,11,19,0.3,10/1/21,16,14,0.345,24.235,34.361,CL026_20,29/10/20,21/12/20,NA,A,23,0.155,20.03,28.582,0.129,9.75,5,0.12,0.009,53
LG089_20,guichenoti,4/1/21,0.248,30,23.33,32.721,0.15,6/1/21,5,25,0.231,8/1/21,13,17,0.288,10/1/21,12,18,0.374,24.368,35.873,CL026_20,29/10/20,21/12/20,NA,C,23,0.17,20.186,28.755,0.126,9.79,4.98,0.126,0,53
LG097_20,guichenoti,16/12/20,0.198,30,21.125,28.383,0.129,18/12/20,6,24,0.223,20/12/20,14,16,0.175,22/12/20,10,20,0.267,23.439,34.134,CL029_20,31/10/20,2/12/20,NA,A,28,0.117,18.626,23.983,0.158,9.56,5.5,0.137,0.021,32
LG098_20,guichenoti,16/12/20,0.196,30,20.382,30.556,0.121,18/12/20,3,27,0.191,20/12/20,11,19,0.2,22/12/20,12,18,0.301,22.996,33.844,CL029_20,31/10/20,2/12/20,NA,A,28,0.154,19.933,27.016,0.212,9.89,6.42,0.185,0.027,32
LG099_20,guichenoti,4/1/21,0.19,30,20.488,28.388,0.15,6/1/21,6,24,0.186,8/1/21,13,17,0.36,10/1/21,19,11,0.269,22.3,30.095,CL029_20,31/10/20,24/12/20,m,A,23,0.12,19.721,24.362,0.159,9.12,5.86,0.141,0.018,54
LG100_20,guichenoti,4/1/21,0.207,30,20.506,30.329,0.164,6/1/21,7,23,0.207,8/1/21,13,17,0.215,10/1/21,15,15,0.299,22.412,31.082,CL029_20,31/10/20,21/12/20,NA,A,23,0.13,19.363,23.505,0.192,8.42,6.6,0.168,0.024,51
LG101_20,guichenoti,16/12/20,0.167,30,19.395,27.325,0.099,18/12/20,1,29,0.172,20/12/20,10,20,0.232,22/12/20,13,17,0.257,21.574,31.938,CL029_20,31/10/20,1/12/20,NA,C,28,0.126,16.912,23.351,0.18,8.19,6.29,0.18,0,31
LG102_20,guichenoti,4/1/21,0.173,30,19.663,27.976,0.174,6/1/21,9,21,0.142,8/1/21,11,19,0.219,10/1/21,11,19,0.264,22.297,29.838,CL029_20,31/10/20,22/12/20,NA,C,23,0.129,19.344,25.289,0.169,8,6.1,0.169,0,52
LG103_20,guichenoti,16/12/20,0.186,30,21.291,29.855,0.126,18/12/20,5,25,0.22,20/12/20,17,13,0.239,22/12/20,13,17,0.275,23.002,33.619,CL029_20,31/10/20,2/12/20,NA,A,28,0.127,19.32,25.364,0.167,9.3,5.75,0.149,0.018,32
LG104_20,guichenoti,4/1/21,0.217,30,22.535,28.523,0.171,6/1/21,2,28,0.214,8/1/21,7,23,0.24,10/1/21,10,20,0.362,24.126,33.596,CL030_20,31/10/20,23/12/20,NA,A,23,0.163,20.372,25.838,0.207,10.11,6.03,0.177,0.03,53
